,version,method,run,n_epochs,best_train,best_val,best_train_ep,best_val_ep,target_val,target_ep,target_reached,std_train,std_val,target_swa_epochs,best_swa_epochs,last_swa_epochs
20,1,operator_norm,5,50,0.0015021414718613393,0.0019825585428625346,49,48,0.0027153938501141965,43,True,0.025450653149688574,0.018791927177796656,"[41, 42, 43]","[46, 47, 48]","[48, 49, 50]"
21,1,operator_norm,6,50,0.0017868714829588808,0.0025859187489841134,50,19,0.0027153938501141965,19,True,0.02469102750715147,0.02188271095288877,"[17, 18, 19]","[17, 18, 19]","[48, 49, 50]"
22,1,operator_norm,7,50,0.0016640850758498035,0.0012325170773547142,49,50,0.0027153938501141965,20,True,0.025647683302813497,0.023349290157165904,"[18, 19, 20]","[48, 49, 50]","[48, 49, 50]"
23,1,operator_norm,8,50,0.0014796782763129691,0.0008131767453160136,50,49,0.0027153938501141965,12,True,0.02509185233280201,0.020742197103542033,"[10, 11, 12]","[47, 48, 49]","[48, 49, 50]"
24,1,operator_norm,9,50,0.0014159076290613994,0.0017495467234402895,50,39,0.0027153938501141965,15,True,0.02511056556375981,0.02117094892692584,"[13, 14, 15]","[37, 38, 39]","[48, 49, 50]"
25,1,operator_norm,10,50,0.0015494128107661155,0.0012988298556301742,50,49,0.0027153938501141965,21,True,0.024845033030349555,0.021574284583501493,"[19, 20, 21]","[47, 48, 49]","[48, 49, 50]"
26,1,operator_norm,11,50,0.0017053736870108944,0.001494782185414806,50,22,0.0027153938501141965,12,True,0.02469134249515234,0.02022926568486111,"[10, 11, 12]","[20, 21, 22]","[48, 49, 50]"
27,1,operator_norm,12,50,0.0016062124246140805,0.0011310835481854156,50,31,0.0027153938501141965,13,True,0.025562814786301447,0.02264545919018799,"[11, 12, 13]","[29, 30, 31]","[48, 49, 50]"
28,1,operator_norm,13,50,0.0014828701971507654,0.0008625764653552323,50,48,0.0027153938501141965,13,True,0.025323016605026567,0.02105982590824751,"[11, 12, 13]","[46, 47, 48]","[48, 49, 50]"
29,1,operator_norm,14,50,0.0013877622063112696,0.0012164854200091212,49,47,0.0027153938501141965,11,True,0.024215106884808005,0.02113793304436039,"[9, 10, 11]","[45, 46, 47]","[48, 49, 50]"
30,1,operator_norm,15,50,0.0014371612623742805,0.0009202481171814725,49,41,0.0027153938501141965,19,True,0.025929003641423875,0.022839845479754595,"[17, 18, 19]","[39, 40, 41]","[48, 49, 50]"
31,1,operator_norm,16,50,0.0015078717306619737,0.001971492184791714,50,46,0.0027153938501141965,36,True,0.02489956983678786,0.021280610929565943,"[34, 35, 36]","[44, 45, 46]","[48, 49, 50]"
32,1,stiefel,1,50,0.0005859371282660016,0.0018130279257893562,50,32,0.0027153938501141965,22,True,0.02090228155319204,0.01085839400977078,"[20, 21, 22]","[30, 31, 32]","[48, 49, 50]"
33,1,stiefel,2,50,0.0005789747749023685,0.0006802194979973138,50,48,0.0027153938501141965,15,True,0.020681073831508447,0.011296373603057705,"[13, 14, 15]","[46, 47, 48]","[48, 49, 50]"
34,1,stiefel,3,50,0.0006088056826464287,0.0010382335607428104,50,50,0.0027153938501141965,16,True,0.02112044270961417,0.010598277426134166,"[14, 15, 16]","[48, 49, 50]","[48, 49, 50]"
35,1,stiefel,4,50,0.0005726993742978155,0.0007363252312643454,50,33,0.0027153938501141965,13,True,0.021228390586279778,0.010950858238480049,"[11, 12, 13]","[31, 32, 33]","[48, 49, 50]"
36,1,stiefel,5,50,0.0005714056727181121,0.0008755693938583136,49,46,0.0027153938501141965,17,True,0.02266560673942344,0.009864722964527261,"[15, 16, 17]","[44, 45, 46]","[48, 49, 50]"
37,1,stiefel,6,50,0.0005738154814220828,0.000950949362711981,50,50,0.0027153938501141965,15,True,0.021783535800808062,0.011822839975488894,"[13, 14, 15]","[48, 49, 50]","[48, 49, 50]"
38,1,stiefel,7,50,0.0004961788511789609,0.0006459597734501585,50,45,0.0027153938501141965,15,True,0.02338678231069085,0.012568576203891377,"[13, 14, 15]","[43, 44, 45]","[48, 49, 50]"
39,1,stiefel,8,50,0.0005858467946044828,0.0006018337164423428,50,42,0.0027153938501141965,8,True,0.0214718796492895,0.009833330797480439,"[6, 7, 8]","[40, 41, 42]","[48, 49, 50]"
40,1,stiefel,9,50,0.0004956356359350427,0.0008145047749858349,50,28,0.0027153938501141965,11,True,0.022203178793517863,0.010185587151956091,"[9, 10, 11]","[26, 27, 28]","[48, 49, 50]"
41,1,stiefel,10,50,0.0005689661345081177,0.001037603400181979,50,48,0.0027153938501141965,22,True,0.021450847653922547,0.013997595400727437,"[20, 21, 22]","[46, 47, 48]","[48, 49, 50]"
42,1,stiefel,11,50,0.0005259868454063175,0.0007546794537920504,50,27,0.0027153938501141965,10,True,0.022604199879547957,0.010685202851335385,"[8, 9, 10]","[25, 26, 27]","[48, 49, 50]"
43,1,stiefel,12,50,0.0006188071201691722,0.001052040400565602,50,31,0.0027153938501141965,10,True,0.022182498500688135,0.01062283584857365,"[8, 9, 10]","[29, 30, 31]","[48, 49, 50]"
44,1,stiefel,13,50,0.0005126977330300866,0.0007398770459694788,50,43,0.0027153938501141965,11,True,0.02186881812470884,0.01032932960756945,"[9, 10, 11]","[41, 42, 43]","[48, 49, 50]"
45,1,stiefel,14,50,0.00048840294306723,0.0005738117760629393,49,50,0.0027153938501141965,9,True,0.020926127795617377,0.010467867494584235,"[7, 8, 9]","[48, 49, 50]","[48, 49, 50]"
46,1,stiefel,15,50,0.0006270736560691149,0.0009659700298216194,49,36,0.0027153938501141965,22,True,0.02357197447736627,0.013742146783707313,"[20, 21, 22]","[34, 35, 36]","[48, 49, 50]"
47,1,stiefel,16,50,0.0004999920914784392,0.0007091265624621883,50,35,0.0027153938501141965,17,True,0.02313490705377165,0.012357637767523888,"[15, 16, 17]","[33, 34, 35]","[48, 49, 50]"
48,1,stoch_iso,1,50,0.0007674388214377913,0.002054695928702131,50,29,0.0027153938501141965,27,True,0.02434931297079145,0.02101060700655188,"[25, 26, 27]","[27, 28, 29]","[48, 49, 50]"
49,1,stoch_iso,2,50,0.0009419834616071568,0.0019552475502714515,49,38,0.0027153938501141965,29,True,0.024723356759625118,0.018997938642859005,"[27, 28, 29]","[36, 37, 38]","[48, 49, 50]"
50,1,stoch_iso,3,50,0.0007547825439719528,0.002024145902134478,49,45,0.0027153938501141965,32,True,0.023894911073938836,0.021201373562261972,"[30, 31, 32]","[43, 44, 45]","[48, 49, 50]"
51,1,stoch_iso,4,50,0.0008058290101201614,0.0009023318648105487,50,48,0.0027153938501141965,15,True,0.024219255369610573,0.020163135200646973,"[13, 14, 15]","[46, 47, 48]","[48, 49, 50]"
52,1,stoch_iso,5,50,0.0007348382453684037,0.0027153938501141965,49,49,0.0027153938501141965,49,True,0.025198586253802575,0.01881919310843638,"[47, 48, 49]","[47, 48, 49]","[48, 49, 50]"
53,1,stoch_iso,6,50,0.0010059545145699436,0.002572644054889679,50,45,0.0027153938501141965,45,True,0.024457628727157784,0.022250702878439926,"[43, 44, 45]","[43, 44, 45]","[48, 49, 50]"
54,1,stoch_iso,7,50,0.0009855116122095596,0.0015461632045917213,50,50,0.0027153938501141965,22,True,0.025374001164883496,0.02317621745775341,"[20, 21, 22]","[48, 49, 50]","[48, 49, 50]"
55,1,stoch_iso,8,50,0.0008096899846909431,0.0010127226344775408,50,41,0.0027153938501141965,12,True,0.025032135067327228,0.02115500011025631,"[10, 11, 12]","[39, 40, 41]","[48, 49, 50]"
56,1,stoch_iso,9,50,0.0007097150321777274,0.0018258333329576998,50,30,0.0027153938501141965,19,True,0.024945195947701157,0.021604010856205447,"[17, 18, 19]","[28, 29, 30]","[48, 49, 50]"
57,1,stoch_iso,10,50,0.0006564090482708884,0.0014504071222618223,50,50,0.0027153938501141965,24,True,0.024778492567773168,0.0216092172770725,"[22, 23, 24]","[48, 49, 50]","[48, 49, 50]"
58,1,stoch_iso,11,50,0.0008877885442442919,0.0017939352483954281,50,43,0.0027153938501141965,11,True,0.024531792791823753,0.02084984688372188,"[9, 10, 11]","[41, 42, 43]","[48, 49, 50]"
59,1,stoch_iso,12,50,0.0007801769463140972,0.0011977921752259135,50,31,0.0027153938501141965,12,True,0.025179940458394154,0.02223240706982601,"[10, 11, 12]","[29, 30, 31]","[48, 49, 50]"
60,1,stoch_iso,13,50,0.0007240747538872245,0.0010750435742083936,50,39,0.0027153938501141965,16,True,0.025042258240022867,0.021157278447208147,"[14, 15, 16]","[37, 38, 39]","[48, 49, 50]"
61,1,stoch_iso,14,50,0.0006939508399937483,0.0014739208312239498,49,43,0.0027153938501141965,14,True,0.023985752764759147,0.020974202689767227,"[12, 13, 14]","[41, 42, 43]","[48, 49, 50]"
62,1,stoch_iso,15,50,0.0006810034214087376,0.0009940831419080495,50,39,0.0027153938501141965,16,True,0.025765640836387292,0.0230510964397739,"[14, 15, 16]","[37, 38, 39]","[48, 49, 50]"
63,1,stoch_iso,16,50,0.0006475967744921856,0.0017772313808090984,50,45,0.0027153938501141965,19,True,0.024655305673516276,0.021603175318715896,"[17, 18, 19]","[43, 44, 45]","[48, 49, 50]"
64,1,vanilla,1,50,0.0006019318427481666,0.0021092016282491387,50,13,0.0027153938501141965,13,True,0.02122678497119042,0.010186624159987638,"[11, 12, 13]","[11, 12, 13]","[48, 49, 50]"
65,1,vanilla,2,50,0.0005313515715391898,0.0007793727290118113,50,29,0.0027153938501141965,16,True,0.021042439413858114,0.01037423390729704,"[14, 15, 16]","[27, 28, 29]","[48, 49, 50]"
66,1,vanilla,3,50,0.0005927267435813186,0.0010166527926921845,50,45,0.0027153938501141965,20,True,0.021110952376858526,0.01171273984450206,"[18, 19, 20]","[43, 44, 45]","[48, 49, 50]"
67,1,vanilla,4,50,0.0005473017938883702,0.0007781765345716849,50,41,0.0027153938501141965,14,True,0.021338927106542737,0.00992304972560857,"[12, 13, 14]","[39, 40, 41]","[48, 49, 50]"
68,1,vanilla,5,50,0.0005481319124923974,0.0012170691492501646,49,50,0.0027153938501141965,19,True,0.02260563294292043,0.00942502962112409,"[17, 18, 19]","[48, 49, 50]","[48, 49, 50]"
69,1,vanilla,6,50,0.0006129444582762605,0.0011254073327872903,49,41,0.0027153938501141965,19,True,0.02185074289068382,0.012369979918527979,"[17, 18, 19]","[39, 40, 41]","[48, 49, 50]"
